Name,Undergrad School,Graduate School,Current Company,Current Title,Previous Companies,Previous Titles,Linkedin,EXIT,FOUNDER,STARTUP,UNDERGRAD,GRADUATE,COMPANY,SENIORITY,EXPERTISE,feature_vector
Ahmed Omar,The German University in Cairo,University of Hamburg,Odiggo,Co-founder & CEO,"['EVIVA LLC', 'Find My Pic', 'Souq.com', 'Cage Warriors ']","['Director of E-commerce', 'Founder', 'Marketplace Seller', 'Pro Athlete - 1st Place in Egypt (3x) 100M Population - MMA Fighter 🥇 3-Gold Medals']",https://www.linkedin.com/in/ao7,0,3,3,1,1,1,2,1,[1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Ahmed Nasser,Computer Science ,,Odiggo,"Co-Founder, President & COO",['Various Companies'],['Co-Founder'],https://www.linkedin.com/in/realahmednasser,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Francisca Noguera Astaburuaga,Platanus,,toku.,Co - Founder & CRO,"['Start-Up Chile', 'CMR Falabella Chile', 'CMR Falabella Chile', 'LarrainVial']","['Batch 1 Ignite', 'Product Manager Fidelización', 'Product Manager Retail', 'Analista de estrategia']",https://www.linkedin.com/in/francisca-noguera-toku,0,1,2,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Cristina Etcheberry,Y Combinator,,Toku (YC S21),Co-Founder & CEO,"['LATAM Airlines', 'LATAM Airlines', 'LATAM Airlines', 'Webdox Legal']","['Ingeniero Proyectos Digitales', 'Analista Senior Estrategia Comercial (Route Economics)', 'Analista Estrategia Comercial (Route Economics)', 'Area Comercial']",https://www.linkedin.com/in/cristina-etcheberry-toku,0,3,3,1,0,1,2,1,[1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Enzo Tamburini Heinz,,,Toku,Cofounder,"['Toku', 'Toku', 'Pontificia Universidad Católica de Chile', 'Pontificia Universidad Católica de Chile', 'Pontificia Universidad Católica de Chile']","['Ingeniero de software', 'Ingeniero de software', 'Ayudante Jefe Coordinador', 'Coach in Capstone Course', 'Ayudante Jefe Docencia']",https://www.linkedin.com/in/entamburini,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Will Bryk,,,Exa,Co-Founder and CEO,"['Cresta', 'Zoox Inc.', 'Harvard Undergraduate Robotics Club', 'Harvard Undergraduate Robotics Club', 'SpaceX']","['Software Engineer', 'Intern', 'Co-President', 'Project Lead', 'Intern']",https://www.linkedin.com/in/william-bryk,0,1,3,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1]
Shady El Tohfa,The American University in Cairo,,Amenli,Co-Founder & CEO,"['Paymob', 'Paymob', 'Goldman Sachs 10,000 Women Entrepreneurship and Leadership Program | AUC', 'Flat6Labs', 'Skydeck | Berkeley', 'AUC Business Association', 'Nestle S.A.', ""Entrepreneurs' Society AUC"", 'HSBC', 'AIESEC']","['Chief Commercial Officer', 'Business Development Director', 'Member of Experts-in-Residence Program', 'Business Development Intern', 'Entrepreneur in Residence', 'Co-Founder & President', 'Supply Chain Management Intern', 'Moderator', 'Trade Department Intern', 'Outgoing Exchange Member']",https://www.linkedin.com/in/shady-el-tohfa-13023258,0,3,3,1,0,1,2,1,[1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Adham Nauman,Ain Shams University,,Amenli,Co-Founder & CTO,"['Chai Insurance', 'Paymob', 'Paymob']","['Co-Founder & CTO', 'Technical Lead', 'Software Engineer']",https://www.linkedin.com/in/adham-nauman-a6882ba3,0,1,3,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1]
Hussein A. Fawzi,,,Y Combinator,Alumni ,"['Russell IPM', 'Russell IPM', 'Russell IPM', 'Residens Events']","['Category Manager', 'Product Manager', 'Product Lead', 'Co-Founder']",https://www.linkedin.com/in/hussein-a-fawzi-4427031a4,0,1,1,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0]
Antonio Nacoud,,,Y Combinator,Alumni,['Lookat'],['Co-Founder'],https://www.linkedin.com/in/antonionacoud,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Ronni Samir,,Jönköping International Business School,Directo,Co-Founder,['Residens Events'],['Co-Founder'],https://www.linkedin.com/in/ronnisamir,0,1,1,1,1,1,1,1,[1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0]
Anders Steiner,,KTH Royal Institute of Technology,PideDirecto,Chief Technology Officer,"['Avanza Bank', 'Eniro', 'UnitedLog', 'DeLaval International AB']","['Full Stack Developer', 'Full Stack Developer', 'Full Stack Developer', 'QA Tester']",https://www.linkedin.com/in/anders-steiner-a6478aa,0,1,2,1,1,1,1,1,[1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0]
Igor Susmelj,ETH Zürich,ETH Zürich,Lightly,Co-Founder,"['Unicorn Labs', 'ETH Zürich', 'SIX Group', 'AMIV an der ETH', 'SIX Group']","['Co-Founder & President', 'Student Teaching Assistant', 'Software engineer', 'Board Member - IT', 'Software engineer']",https://www.linkedin.com/in/igorsusmelj,0,3,2,1,1,1,1,3,[1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0]
Matthias Heller,University of St.Gallen,HEC Paris,Lightly,Co-Founder,"['Boston Consulting Group (BCG)', 'Convergence Partners AG', 'Mountain Partners', 'Sochat', 'Raiffeisen Schweiz', 'HANS KOHLER AG']","['Visiting Associate', 'Analyst (Working Student)', 'Venture Capital Intern', 'Business Development Intern', 'Corporate Finance M&A Dept. Intern', 'Young Talents Program']",https://www.linkedin.com/in/matthiasheller,0,1,2,1,1,1,1,1,[1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0]
Mahmoud Ghulman,Massachusetts Institute of Technology,,Nash ,Co-Founder & CEO,"['Arsann', 'Mozn', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology']","['Co-Founder & CEO', 'Head of Business Development', 'Researcher, Soljačić Group', 'Researcher, Grossman Group', 'Researcher, Gedik Group']",https://www.linkedin.com/in/mahmoudghulman,0,2,3,3,0,1,2,1,[0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1]
Aziz Alghunaim,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Nash,Co-Founder & CTO,"['Palantir Technologies', 'MIT Computer Science and Artificial Intelligence Lab (CSAIL)', 'Palantir Technologies', 'Roland Berger Strategy Consultants', 'MIT Media Lab and The DuKode Studio: OpenIR', 'MIT Computer Science and Artificial Intelligence Lab (CSAIL)', 'MIT Autonomous Robot Design Competition (6.270)', 'KAUST', 'King Abdulaziz City for Science and Technology (KACST)', 'Research Science Institute, MIT']","['Forward Deployed Engineer', 'Undergraduate Researcher: Language Understanding', 'Forward Deployed Engineer', 'Summer Analyst', 'Associate Software Engineer', 'Undergraduate Researcher: Cyber Analyst', 'Software Team member', 'SRSI counselor', 'Advising member: Entertainment and Multimedia', 'Scholar']",https://www.linkedin.com/in/azizkag,0,3,3,3,3,1,1,3,[0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Rebecca Weisinger,Harvard University,Stanford University,Equipt Health,Co-Founder,"['Medallion', 'Truepill', 'Matterport', 'YourMechanic', 'Counsyl']","['VP of Operations', 'Director, Business Operations & Strategy', 'Director, Strategy and Operations', 'Director of Strategy & Operations', 'Senior Technical Product Manager']",https://www.linkedin.com/in/rebecca-weisinger-62ab44,0,1,3,1,1,1,3,3,[1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1]
Avinash Sukhwani,University of Cambridge,University of Cambridge,Payflow ,Co-founder,"['Rocket Internet SE', 'Boston Consulting Group (BCG)', 'Boston Consulting Group (BCG)', 'Boston Consulting Group (BCG)', 'Woodlark', 'Innovia Technology', 'Standard Chartered Bank']","['Co-founder & COO at Franksmile (a Rocket Internet venture)', 'Consultant', 'Senior Associate', 'Associate', 'Co-founder', 'Summer Intern', 'Summer Intern']",https://www.linkedin.com/in/avinash-sukhwani,0,1,3,1,3,1,2,1,[1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1]
Benoit Menardo,INSEAD,INSEAD,Payflow,Co-Founder,"['Rocket Internet SE', 'Bain & Company', 'PrepLounge', 'The Future of Electricity', 'Millennium Management', 'Rosneft']","['Co-Founder (B2B Venture)', 'Management Consultant', 'Expert Coach', 'Founder', 'Hedge Fund', 'Analyst']",https://www.linkedin.com/in/benoitmenardo,0,3,3,1,1,1,1,1,[1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Henri Suhardja,Universitas Gadjah Mada (UGM),,Titipku,CEO,"['CV Pangan Lokal Sejahtera', 'Hiltons Dryer', 'Bentang Pustaka', 'Personal Real Estate']","['Investor', 'Business Owner', 'Book Author', 'Property Broker']",https://www.linkedin.com/in/henri-suhardja-1881a4109,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Ong Tek Tjan,,,PT Terang Bagi Bangsa,Co Founder,"['PT Bank Sahabat Sampoerna', 'PT Bank Sahabat Sampoerna', 'Bank Danamon Indonesia', 'Bank Danamon Indonesia', 'PT Bank Central Asia Tbk', 'PT Bank Central Asia Tbk', 'PT Bank Central Asia Tbk', 'PT Bank Central Asia Tbk', 'PT Bank Central Asia Tbk', 'PT Bank Central Asia Tbk', 'PT Bank Central Asia Tbk', 'PT Bank Central Asia Tbk', 'PT Bank Central Asia Tbk']","['Director', 'Head of SME, Funding and Network', 'EVP Strategic Planning and Business Development', 'EVP SMEC Cross sell', 'Deputy Head Division', 'Head of SME Upper SME Business Infrastructure', 'Head of SME Business Department', 'Main Branch Manager', 'Deputy Branch Manager in Operation', 'Deputy Branch Manager in Credit and Marketing', 'Credit Head', 'Professional Staff', 'Management Development Program']",https://www.linkedin.com/in/ong-tek-tjan-533b2616,0,1,1,1,0,1,3,1,[1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0]
William Crowe,UNSW,,HEO,CEO,"['UNSW Innovations', 'CSIRO', 'UNSW Australia', 'Freelance', 'RailCorp', 'RailCorp', 'RailCorp', 'RailCorp']","['Facilitator', 'Astrodynamics Consultant', 'PhD Candidate and Tutor', 'Writer - Speculative Fiction', 'Graduate Engineer - Noise and Vibration', 'Project Engineer - Train Condition Monitoring', 'Graduate Engineer - Timetable Analyst', 'Intern Engineer - Train Condition Monitoring']",https://www.linkedin.com/in/william-crowe-space,0,1,1,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0]
"Hiranya ""HJ"" Jayakody",University of Peradeniya,,HEO,Co-founder and CTO,"['UNSW', 'University of New South Wales', 'University of Peradeniya', 'Suntel Ltd']","['Postdoctoral Research Fellow', 'PhD in Mechatronics Engineering', 'Research and Teaching Assistant', 'Trainee- Technology group']",https://www.linkedin.com/in/hiranya-jayakody,0,3,3,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Ryan W.,University of Washington,University of Washington,Turion Space,CEO/Co-Founder,"['SpaceX', 'SpaceX', 'SpaceX', 'University of Washington Department of Aeronautics and Astronautics', 'Aerojet', 'PitchBook Data', 'Karakorum Inc.']","['Dynamics Engineer II', 'Dynamics Engineer', 'Propulsion Development Engineering Intern', 'Undergraduate Researcher', 'Project Engineering Intern', 'Private Equity Data Analysis Intern', 'Mechanical Engineering Intern']",https://www.linkedin.com/in/rwesterdahl,0,1,3,2,1,1,1,3,[0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1]
Tyler James Pierce,University of Washington,,Turion Space,"Co-Founder, President","['Y Combinator', 'ATA Engineering', 'Electroimpact', 'Lockheed Martin ADP (Skunk Works)', 'SpaceX', 'University of Washington', 'CD-adapco', 'AIAA', 'Electroimpact']","['Turion Space', 'Engineering Analyst', 'Robotics and Automation Design Engineer', 'Aerodynamics Engineer', 'Propulsion Analysis Engineer', 'Aerodynamics and Heat Transfer Lead Engineer - Capstone Design', 'Computational Fluid Dynamics Support Engineer', 'Aircraft Design - Design, Build, Fly Systems Lead', 'Robotics Engineer']",https://www.linkedin.com/in/tylerjpierce,0,1,2,2,0,1,1,3,[0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Patryk Wiatr,Central Washington University,,Turion Space,Co-Founder & CIO,"['VendNovation', 'AVST']","['Software Engineer', 'Business Automation Engineer Intern']",https://www.linkedin.com/in/patryk-wiatr,0,0,2,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Carl Madi,The Wharton School,The Wharton School,Stepful,Co-Founder & CEO,"['Handy HQ', 'Amino Apps', 'Uber', 'Uber', 'A.T. Kearney']","['General Manager, Direct to Consumer Business', 'General Manager - New and Emerging Markets', 'Global Strategy and Planning Manager', 'Operations and Logistics Manager', 'Consultant']",https://www.linkedin.com/in/carlmadi,0,0,3,1,1,1,1,1,[1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1]
Tressia Hobeika,Y Combinator,Diplomatic School of Spain,Stepful,Co-Founder & Chief Product Officer,"['On Deck', 'Triplebyte', 'Udacity', 'Oliver Wyman', 'European Training Foundation', 'European Parliament', 'College of Europe', 'University of Leeds', 'Daimler AG']","['Health Fellow', 'Group Product Manager', 'Product Lead', 'Strategy Consultant', 'Young Mediterranean Leader ', 'Program Officer', 'Researcher', 'Researcher, Engineering Thermofluids Surfaces and Interfaces', 'Mechanical Engineer']",https://www.linkedin.com/in/tressia-hobeika,0,1,3,1,1,1,1,3,[1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1]
Edoardo Serra,,,Stepful,Co-Founder & CTO,"['Apple', 'Firetree Asia Foundation', 'Apple', 'tassa.li', 'SATISFLY Ltd', 'WeBRainstorm S.r.l.', 'Exsorsa LLC']","['Software Engineering Manager', 'Member of the Board of Directors', 'Language Technologies Engineer', 'Co-founder', 'Co-Founder and CTO', 'Co-founder and CEO', 'Technology advisor']",https://www.linkedin.com/in/eserra,0,3,3,1,0,1,2,3,[1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Michael Astreiko,,,Synder,Founder / CEO,"['REID Consulting', 'biid', 'DashboardStream LLC', 'BuddyBounce', 'NearMe', 'Scand', 'Scand']","['CEO/Owner', 'Solution Architect', 'Architect', 'Grails Consultant', 'Grails Consultant', 'Team Lead', 'Java Developer']",https://www.linkedin.com/in/michaelastreiko,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Ilya  Kisel,,,Synder by CloudBusiness,Chief Operating Officer,"['Cloud Business, LLC', 'SEM']","['Marketing and Customer Success  ', 'Project Manager']",https://www.linkedin.com/in/ilya-kisel-cb,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Chase Bonhag,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,FirstIgnite,Co-Founder  & CEO,"['TechNexus Venture Collaborative', 'Illinois Ventures', 'iVenture Accelerator', 'EntreCORPS', 'EntreCORPS', 'University of Illinois at Urbana-Champaign', 'Abbott Point of Care', 'Chase Group, Ltd', 'HireStarts', 'Western Michigan University', 'Western Michigan University']","['Senior Venture Associate', 'Venture Capital Associate', 'Advisory Committee Member', 'Advisory Committee Member', 'Project Advisor', 'Associate Instructor of Entrepreneurship', 'Global Strategic Marketing MBA Intern', 'Consultant', 'Marketing Director / Co-Founder', 'Assistant Office Manager', 'Inside Sales and Caller Trainer']",https://www.linkedin.com/in/chasebonhag,0,1,3,1,1,1,2,1,[1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1]
Cody Pawlowski,,,FirstIgnite,Co-Founder & CTO,['Convey Software'],['Founder & CEO'],https://www.linkedin.com/in/codypawlowski,0,2,2,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0]
"Anurup Ganguli, PhD",Indian Institute of Technology Jodhpur,University of Illinois Urbana-Champaign,VedaBio,Co-Founder,"['University of Illinois at Urbana-Champaign', 'University of Illinois at Urbana-Champaign', 'University of Illinois at Urbana-Champaign', 'Y Combinator', 'Indian Institute of Technology, Kanpur', 'Flipkart', 'Western University']","['Research Scientist', 'Postdoctoral Scholar', 'PHD', 'Founder', 'Project Associate at Micro Systems Fabrication Lab', 'Business Analyst', 'Summer Internship']",https://www.linkedin.com/in/anurup-ganguli-phd-24a22419,0,3,3,1,1,1,1,1,[1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Martin Lykke Suhr,,,GamerPay,"Co-Founder, Jack of all trades",[],[],https://www.linkedin.com/in/martingeorgesuhrmadsen,0,1,1,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0]
Morten Byskov,University of Hertfordshire,,GamerPay,Co-founder & COO,"['SumUp', 'Swipty', 'AIMO - Artificial intelligence in motion', 'Me & Alice', 'Kontii', 'Maersk Broker Copenhagen', 'Maersk Broker Korea Ltd.', 'Maersk Broker Japan', 'Maersk Broker Copenhagen', 'Danish Shipowners Association']","['Product Owner', 'Product Lead & Partner', 'Product Manager', 'Strategic Development Manager', 'Co-Founder', 'Project broker', 'Shipbroker', 'Shipbroker', 'Shipbroker', 'Marketing Assistant']",https://www.linkedin.com/in/mortenbyskov,0,2,3,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1]
Peter Haldbæk,,DTU - Technical University of Denmark,GamerPay,Lead Developer and Co-founder,"['Shortcut AS', 'Trendsales', 'Tradono', 'Tradeshift', 'Codehouse A/S', 'KMD', 'Brisk Bee', 'KMD', 'Sirius IT']","['iOS Developer', 'iOS Developer', 'Mobile Developer', 'Frontend Developer', 'Frontend Developer', 'Senior Developer', 'Senior Software Engineer', 'Senior Developer', 'Senior Architect']",https://www.linkedin.com/in/peterhaldbaek,0,0,2,1,1,1,2,3,[1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Mathias Hermansen,,,GamerPay,Co-Founder & CEO,"['Verisure', 'Ren Cykel ApS', 'Temply', 'Trendsales', 'Trendsales', 'eBay Classifieds', 'eBay Classifieds', 'eBay Classifieds', 'Booz & Company', 'Consulting Minds', 'Moller Company']","['Director @ Lookout', 'Advisor', 'CEO & co founder', 'COO & CPO', 'COO & Country Manager, Tradono', 'Head of Automotive & Advertising, eBay Classifieds Italy', 'Head of Strategy & Business Analytics, Denmark', 'Strategy & Analytics Manager, Denmark', 'Management Consultant', 'Co-founder and Owner', 'Executive Assistant / PA']",https://www.linkedin.com/in/mathias-hermansen,0,3,3,1,0,1,3,1,[1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1]
Daniel Campion,,University of Bath,Sitenna,CEO and Co-Founder (YC S21),"['Platform', 'OnlineFuels', 'Tech Nation', 'Engager.ie', 'KPMG', 'KPMG', 'Aetha Consulting Limited']","['Co-Founder, Director', 'Non Executive Board Member', 'Scale Coach', 'Advisory Board Member', 'Associate Director | Deal Advisory', 'Manager | Deal Advisory', 'Consultant']",https://www.linkedin.com/in/danielcampion,0,2,3,1,1,1,3,1,[1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1]
Brian Sexton,,Technological University Dublin,Sitenna,Co-Founder & CTO,"['Engager.ie', 'TechIreland', 'BAE Systems Applied Intelligence', 'Misys', 'Davy', 'Norkom Technologies', 'LMI Ericsson']","['Chief Technical Officer', 'Software Developer', 'Business Consultant', 'Senior L3 support engineer', 'Business Analyst', 'Technical Consultant', 'Technical Consultant']",https://www.linkedin.com/in/briansexton-ire,0,1,2,1,1,1,2,3,[1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Adam McAskill,Queen's University,,Evidence,Co-Founder & CEO ,"['Birch Hill Equity Partners', 'Birch Hill Equity Partners', 'Birch Hill Equity Partners', 'Ontario Public Service', 'Ontario Public Service']","['Director, Data Science', 'Associate', 'Analyst', 'Senior Policy Analyst', 'Senior Economist']",https://www.linkedin.com/in/adam-mcaskill-74515720,0,1,2,1,0,1,2,1,[1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0]
